year,km_driven,fuel,owner,mileage(km/ltr/kg),seats,selling_price
2007,90000,Petrol,first,12.9,5,350000
2016,34000,Petrol,second,17.5,7,660000
2017,25000,Petrol,first,24.7,5,268000
2016,50000,Petrol,first,22.74,5,270000
2013,50000,Diesel,first,25.44,5,300000
2017,90000,Petrol,first,23.84,5,450000
2012,70000,Diesel,second,25.44,5,220000
2009,146000,Diesel,second,13.93,7,250000
2012,85000,Petrol,second,15.6,5,300000
2009,201850,Diesel,second,17.88,5,88000
2016,30000,Diesel,first,26.59,5,561000
2018,15000,Diesel,first,28.4,5,755000
2017,25000,Petrol,first,22.7,5,235000
2011,90000,Petrol,first,20.92,5,165000
2008,80000,Diesel,second,19.3,5,190000
2011,50000,Diesel,first,17.2,5,110000
2012,80000,Diesel,second,13.6,8,320000
2010,110000,Diesel,second,,,330000
2016,38000,Petrol,first,18.6,5,540000
2013,60000,Petrol,first,21.1,5,180000
2016,100000,Petrol,third,15.37,7,270000
2012,30000,Petrol,first,17.5,5,450000
2014,30000,Petrol,first,19.1,5,450000
2015,50000,Petrol,first,18.6,5,200000
2017,42000,Petrol,first,23.84,5,425000
2016,30000,Petrol,first,18.2,5,400000
2009,60000,Petrol,third,19.7,5,125000
2018,14000,Diesel,first,17.1,5,1600000
2015,22000,Petrol,first,17.4,5,900000
2012,90000,Diesel,first,20.54,5,450000
2011,46000,Petrol,first,20.92,5,210000
2018,20000,Petrol,first,18.6,5,801000
2014,15000,Diesel,first,15.42,7,317000
2015,40000,Petrol,second,16.02,7,600000
2014,30000,Petrol,second,18.5,5,330000
2017,15000,Petrol,second,21.1,5,320000
2010,50000,Petrol,first,,,160000
2007,110000,Petrol,second,15.3,5,120000
2009,70000,Petrol,second,19.7,5,130000
2015,80000,Petrol,first,18.2,5,220000
2008,50000,Diesel,third,,,229999
2015,110000,Petrol,first,17.57,5,340000
2013,70000,Diesel,second,19.68,5,200000
2002,50000,Petrol,second,19.7,5,140000
2013,190000,Diesel,first,12.99,8,1000000
2010,100000,Diesel,second,13.6,7,495000
2015,60000,Petrol,first,22.74,5,236000
2015,40000,Petrol,first,20.51,5,390000
2009,90000,Diesel,second,19.3,5,275000
2015,110000,Diesel,first,14.1,7,503000
2017,32000,Diesel,first,24.3,5,775000
2016,30000,Diesel,first,11.36,7,1800000
2016,58000,Diesel,first,19.67,5,850000
2018,5000,Diesel,first,24.3,5,750000
2018,25000,Petrol,first,18.6,5,570000
2018,32000,Petrol,first,18.9,5,580000
2016,30000,Petrol,first,18.7,5,484999
2017,43000,Petrol,first,15.4,7,700000
2012,60000,Petrol,first,17.7,5,415000
2015,50000,Petrol,first,19.34,5,325000
2018,14200,Petrol,first,18.16,5,550000
2017,10000,Petrol,first,21.1,5,300000
2018,25000,Petrol,first,22.7,5,217000
2018,19100,Petrol,first,19,5,700000
2019,25000,Petrol,fourth,20.3,5,466000
2014,54000,Diesel,first,23,5,484999
2018,35000,Diesel,first,22.71,5,670000
2018,20000,Petrol,second,18.9,5,500000
2016,52000,Diesel,first,23.65,5,675000
2011,120000,Diesel,second,23,5,220000
2017,50000,Diesel,first,17.1,5,1650000
2013,120000,Diesel,second,20.77,7,630000
2010,90000,Diesel,second,18.8,5,250000
2004,120000,Petrol,third,18.9,5,120000
2015,101500,Diesel,second,21.14,5,300000
2013,75000,Diesel,first,22.32,5,525000
2011,97500,Petrol,first,,,204999
2011,97500,Petrol,first,,,204999
2016,100000,Diesel,first,15.4,7,1100000
2012,55735,Diesel,second,19.01,5,480000
2014,80000,Diesel,second,15.1,7,605000
2016,50000,Petrol,second,24.7,5,250000
2013,70000,Diesel,second,20,5,245000
2012,76000,Petrol,fourth,20.36,5,210000
2020,1500,Petrol,first,21.21,5,730000
2012,76000,Diesel,first,15.96,7,500000
2015,40000,Petrol,first,20.51,5,400000
2015,60000,Petrol,second,21.1,5,280000
2009,170000,Diesel,third,12.8,8,561000
2013,181491,Diesel,first,13.5,7,950000
2016,53319,Diesel,first,25.44,5,375000
2017,40906,Diesel,first,21.66,5,700000
2012,31711,Petrol,second,17.6,5,375000
2012,43755,Petrol,second,21.1,5,270000
2016,66693,Petrol,first,25.17,5,300000
2010,59549,Petrol,first,19,5,225000
2015,94385,Diesel,first,12.99,8,1350000
2010,73730,Petrol,first,18.2,5,200000
2011,221889,Diesel,first,22.32,5,400000
2013,116104,Diesel,first,25.8,5,500000
2015,150546,Petrol,first,22,5,500000
2013,148120,Diesel,first,14.24,7,1500000
2015,20000,Petrol,second,15.8,5,555000
2018,30000,Petrol,first,18.9,5,580000
2011,142000,Diesel,third,13.7,7,337000
2011,20000,Diesel,first,12.2,10,175000
2009,120000,Diesel,second,18.8,5,180000
2011,80000,Petrol,first,19.81,5,200000
2016,60000,Diesel,first,19.09,5,260000
2016,25000,Petrol,first,23.01,5,350000
2011,50000,Diesel,second,13.6,7,409999
2017,126000,Diesel,first,18.49,7,655000
2015,170000,Diesel,first,26.59,5,370000
2013,24000,Petrol,first,22.74,5,200000
2017,100000,Diesel,second,24.52,7,800000
2019,10000,Petrol,first,24,5,550000
2012,70000,Diesel,second,20,5,300000
2017,40000,Petrol,first,16.8,8,220000
2011,110000,Petrol,first,18.9,5,196000
2008,80000,Petrol,second,19.81,5,135000
2015,16500,Petrol,first,17.57,5,299000
2017,30000,Petrol,first,23.95,5,300000
2017,80000,Diesel,first,24.52,7,720000
2016,50000,Diesel,third,14.1,7,650000
2016,25000,Petrol,first,23.95,5,300000
2019,20000,Diesel,first,24,5,750000
2016,60000,Petrol,first,25.17,5,260000
2011,70000,Diesel,second,22.9,5,300000
2014,50000,Diesel,second,15.96,7,600000
2004,100000,Petrol,second,9,5,275000
2015,52000,Petrol,first,23.95,5,250000
2014,80000,Diesel,first,23.4,5,420000
2015,50000,Petrol,first,21.1,5,235000
2016,60000,Diesel,first,15.4,7,1100000
2019,25000,Petrol,first,23.95,5,360000
2014,50000,Diesel,second,24,5,380000
2016,125000,Diesel,first,22.77,5,650000
2016,80000,Petrol,first,20.51,5,350000
2017,70000,Diesel,first,15.96,9,700000
2010,90000,Diesel,third,23,5,270000
2017,50000,Diesel,first,22.95,5,450000
2016,101000,Diesel,first,16.55,6,630000
2010,168000,Diesel,first,14,7,229999
2010,168000,Diesel,first,14,7,229999
2011,40000,Petrol,first,18.9,5,270000
2009,28900,Petrol,second,0,5,135000
2012,20000,Petrol,first,18.9,5,275000
2017,9000,Diesel,first,13.6,5,2625000
2019,20000,Petrol,first,22.37,5,5150000
2017,45000,Diesel,first,19.33,5,3200000
2015,110000,Diesel,first,14.1,7,503000
2019,20000,Diesel,first,18,5,3800000
2016,68089,Petrol,first,19.16,5,2000000
2013,58343,Petrol,first,21.79,5,225000
2018,38817,Diesel,first,27.39,5,740000
2016,56494,Petrol,first,18.2,5,550000
2013,79328,Diesel,second,12.99,7,750000
2019,5621,Petrol,first,22,5,650000
2017,25538,Petrol,first,16.78,5,625000
2018,69779,Petrol,first,22,5,600000
2017,56290,Diesel,first,24,5,450000
2019,7500,Diesel,first,16.78,5,5400000
2019,8500,Diesel,first,16.78,5,5500000
2019,7032,Petrol,first,19,5,779000
2016,11000,Petrol,first,14.3,5,645000
2018,2000,Diesel,first,16.8,5,2475000
2015,165000,Diesel,first,18.49,7,634000
2012,98500,Petrol,second,19,5,235000
2008,98000,Petrol,third,20.36,5,275000
2014,40000,Diesel,second,16.55,6,700000
2013,90000,Diesel,first,20.3,5,400000
2012,90000,Petrol,third,19.7,5,215000
2009,110000,Diesel,second,17.1,5,150000
2018,77800,Diesel,first,25.1,5,950000
2015,100000,Diesel,first,18.49,7,730000
2012,120000,Diesel,second,19,5,135000
2016,80000,Petrol,second,19.1,5,350000
2018,21000,Petrol,second,18.15,6,535000
2018,100000,Petrol,second,19,5,455000
2019,25000,Petrol,first,21.21,5,655000
2019,30000,Diesel,third,23,5,800000
2018,25000,Petrol,first,17.8,5,1100000
2016,40000,Diesel,first,13,5,3000000
2012,160000,Diesel,first,11.5,7,1225000
2018,51492,Petrol,first,18.15,6,340000
2011,72000,Diesel,second,20.54,5,300000
2016,60000,Petrol,first,18.16,5,370000
2013,136000,Diesel,second,15.96,7,330000
2014,60000,Petrol,first,17.92,5,238000
2006,110000,Petrol,second,,,72000
2013,90000,Petrol,first,17.92,5,200000
2014,91000,Diesel,fourth,22.71,5,320000
2009,90000,Petrol,fourth,17.92,5,114999
2015,50000,Petrol,second,20.51,5,320000
2010,20000,Petrol,first,19.81,5,210000
2011,120000,Diesel,first,14,8,200000
2009,150000,Petrol,second,18.9,5,135000
2015,52000,Diesel,first,19.09,5,350000
2014,167000,Diesel,second,13.6,8,350000
2017,40000,Diesel,first,28.4,5,680000
2010,190000,Diesel,second,17.8,5,200000
2016,50000,Petrol,first,23.01,5,300000
2011,70000,Diesel,second,14,7,270000
2012,80000,Petrol,second,18.9,5,225000
2008,120000,Diesel,first,13.6,8,250000
2015,40000,Diesel,second,18.49,7,590000
2015,17000,Petrol,first,21.1,5,290000
2010,180000,Petrol,second,19,5,100000
2016,50000,Petrol,first,23.1,5,395000
2014,65000,Petrol,second,21.1,5,195000
2011,10000,Petrol,third,26,4,45000
2009,70000,Diesel,second,13.6,8,270000
2014,90000,Diesel,second,13.58,9,600000
2015,50000,Diesel,first,22.54,5,715000
2019,10000,Petrol,first,18.6,5,600000
2019,25000,Diesel,first,18.49,7,875000
2011,100000,Diesel,second,13.5,5,420000
2007,70000,Petrol,second,10.1,5,325000
2017,30000,Petrol,first,20.63,5,385000
2016,40000,Petrol,first,18.15,6,300000
2012,135000,Diesel,first,21.9,5,335000
2014,35000,Petrol,first,23.1,5,300000
2004,120000,Petrol,second,13.2,5,80000
2012,120000,Diesel,first,15.96,7,400000
2012,190000,Diesel,second,19.09,5,168000
2016,120000,Diesel,first,15.96,9,550000
2012,120000,Diesel,second,,,300000
2011,175000,Diesel,third,13.6,7,320000
2011,175000,Diesel,third,15.96,9,320000
2011,25000,Petrol,second,16.95,5,350000
2013,80000,Diesel,first,21.02,5,280000
2017,70000,Diesel,second,24.4,5,550000
2018,10000,Petrol,first,20.14,5,500000
2019,6000,Petrol,first,19,5,700000
2013,90000,Diesel,second,20.5,5,380000
2012,110000,Diesel,second,15.96,9,340000
2007,120000,Diesel,third,13.6,9,160000
2014,50000,Diesel,first,12.99,7,750000
2018,20000,Petrol,first,18.9,5,531000
2017,35000,Petrol,first,23.01,5,300000
2014,60000,Diesel,second,20.14,5,350000
2010,68000,Petrol,fourth,18.6,5,150000
2015,30000,Petrol,first,20.4,5,450000
2017,54000,Diesel,first,16,7,1625000
2006,65000,Petrol,third,,,140000
2004,80000,Diesel,third,,,250000
2006,120000,Diesel,third,16.8,5,85000
2018,30000,Petrol,first,18.9,5,450000
2011,55113,Petrol,first,,,170000
2017,50000,Diesel,first,27.28,5,360000
2020,6000,Petrol,first,23.95,5,390000
2011,50000,Petrol,second,15.37,7,145000
2012,90000,Diesel,third,12.05,8,540000
2008,126000,Diesel,third,12.8,8,290000
2013,90000,Diesel,first,25,5,300000
2017,80000,Petrol,first,18.16,5,565000
2011,70000,Diesel,second,10.5,7,441000
2003,80000,Petrol,second,,,50000
2011,80000,Petrol,second,21.1,5,180000
2013,80000,Petrol,second,21.1,5,200000
2005,150000,Petrol,second,19.7,5,85000
2006,110000,Diesel,fourth,17.88,5,67500
2016,110000,Diesel,second,24.3,5,700000
2010,80000,Diesel,fourth,22.07,5,275000
2019,20000,Petrol,first,18.9,5,600000
2011,120000,Diesel,first,13,8,250000
2016,120000,Diesel,first,15.96,9,600000
2010,80000,Diesel,second,20.4,5,200000
2015,91500,Diesel,second,24,5,425000
2012,120000,Diesel,second,19.3,5,420000
2012,100000,Diesel,second,23,5,321000
2012,120000,Diesel,fourth,14,8,350000
2017,80000,Petrol,first,17.8,5,490000
2015,90000,Diesel,first,15.4,7,680000
2016,70000,Petrol,first,23.95,5,298000
1999,110000,Petrol,second,,,80000
2011,150000,Diesel,fourth,13.5,5,450000
2010,60000,Petrol,second,,,400000
2012,40000,Diesel,first,22.3,5,250000
2013,110000,Diesel,third,12.8,7,1075000
2017,20000,Petrol,first,18.9,5,500000
2019,10000,Petrol,first,19,5,681000
2014,90000,Diesel,second,15.1,7,650000
2008,70000,Petrol,second,15.26,5,80000
2009,120000,Diesel,first,13.6,7,290000
2006,120000,Diesel,second,10.5,8,220000
2009,90000,Petrol,second,0,5,120000
2017,80000,Petrol,first,22.7,5,229999
2003,132478,Diesel,second,13.6,7,150000
2014,45000,Petrol,first,19.1,5,500000
2013,120000,Diesel,first,19.09,5,175000
2019,10000,Petrol,first,19,5,720000
2012,51000,Petrol,first,16.1,4,100000
2009,105000,Petrol,second,12.9,5,250000
2014,100000,Diesel,first,15.1,7,810000
2010,30000,Petrol,third,19.7,5,165000
2016,60000,Diesel,second,12.2,10,409999
2013,86000,Diesel,second,22.9,5,430000
2015,15000,Petrol,first,20.62,7,300000
2011,137500,Diesel,third,19.3,5,350000
2018,60000,Petrol,first,23.01,5,400000
2016,70000,Diesel,first,18.2,7,420000
2015,5000,Petrol,first,20.51,5,430000
2017,30000,Petrol,first,20.4,5,573000
2015,40000,Petrol,first,21.1,5,210000
2015,60000,Diesel,first,19.01,5,600000
2008,70000,Petrol,third,17.7,5,150000
2019,15000,Petrol,first,20.3,5,550000
2011,110000,Diesel,second,19.3,5,320000
2000,70000,Petrol,fourth,16.1,4,80000
2019,10000,Diesel,first,27.4,5,800000
2013,60000,Petrol,first,16.02,7,500000
2011,110000,Diesel,second,18.8,5,229999
2013,60000,Petrol,first,16.02,7,500000
2015,35000,Petrol,first,18.6,5,630000
2016,70000,Petrol,second,16.8,8,190000
2011,110000,Diesel,second,18.8,5,229999
2011,100000,Diesel,second,13.6,7,450000
2008,120000,Petrol,first,19.7,5,95000
2009,90000,Petrol,fourth,19.7,8,101000
2016,70000,Diesel,second,25.8,5,500000
2014,88000,Diesel,second,12.99,7,1019999
2012,38000,Petrol,first,21.1,5,244000
2013,90000,Petrol,second,20.51,5,250000
2016,60000,Petrol,first,21.4,5,660000
2010,60000,Petrol,first,18.5,5,270000
2012,156060,Diesel,first,23.2,5,280000
2017,60000,Diesel,first,19.67,5,1050000
2017,70000,Petrol,first,20.85,5,525000
2017,35000,Diesel,first,23.9,5,850000
2016,50000,Diesel,first,16,7,1165000
2012,50000,Petrol,second,18.6,5,345000
2007,100000,Petrol,second,17.8,5,95000
2015,15000,Petrol,first,22.74,5,241000
2015,20000,Petrol,first,22.74,5,235000
2015,80000,Diesel,first,22.77,5,615000
2014,110000,Diesel,second,20.8,5,350000
2014,35000,Petrol,first,20.51,5,350000
2014,35000,Petrol,first,20.51,5,380000
2017,140000,Diesel,first,14.07,7,400000
2010,40000,Petrol,first,19,5,220000
2008,110000,Diesel,third,14.4,7,270000
2012,70000,Petrol,second,18.5,5,275000
2009,100000,Diesel,second,17,5,125000
2015,20000,Petrol,first,19.81,5,360000
2019,15000,Petrol,first,18.9,5,550000
2011,70000,Petrol,second,16.6,5,200000
2016,20000,Petrol,first,18.15,6,327000
2016,15000,Petrol,first,19.81,5,425000
2017,107000,Diesel,first,28.4,5,620000
2011,54000,Diesel,second,18.4,5,130000
2009,58000,Petrol,first,19.7,5,120000
2011,110000,Diesel,second,12.05,8,400000
2007,90000,Diesel,fourth,16.8,5,185000
2015,43000,Petrol,second,20.3,5,204999
2017,43000,Diesel,first,28.4,5,625000
2013,60000,Diesel,first,20.77,7,600000
2011,150000,Petrol,first,12.8,5,150000
2017,35000,Petrol,first,23.01,5,300000
2013,46000,Petrol,first,18.2,5,229999
2018,10000,Petrol,first,16.8,8,220000
2016,35000,Petrol,first,18.6,5,576000
2016,50000,Petrol,first,25.17,5,265000
2005,60000,Petrol,third,,,50000
2011,80000,Diesel,first,22.32,5,300000
2017,110000,Diesel,first,24.7,5,420000
2015,14000,Diesel,first,20.77,7,750000
2012,60000,CNG,second,30.46,5,165000
2017,28000,Petrol,first,25.17,5,290000
2011,57000,Petrol,first,21.1,5,160000
2017,50000,Diesel,first,26.59,5,695000
2012,70000,LPG,first,26.2,5,231000
2015,60000,Diesel,first,21.43,5,1050000
2013,70000,Petrol,first,18.5,5,400000
2016,40000,Petrol,first,18.6,5,500000
2010,120000,Diesel,second,21.12,5,150000
2016,140000,Diesel,second,14.02,7,400000
2010,100000,Diesel,second,17,5,120000
2014,120000,Diesel,second,14.02,7,480000
2013,120000,Diesel,second,19.09,5,200000
2012,64000,Diesel,second,17.8,5,300000
2015,25000,Petrol,first,23.1,5,350000
2019,12000,Petrol,first,20,7,580000
2012,70000,Diesel,second,25.44,5,200000
2016,120000,Diesel,first,11,5,750000
2016,90000,Petrol,first,25.17,5,261000
2015,40000,Petrol,first,18.2,5,371000
2010,300000,Diesel,third,13.6,7,320000
2012,120000,Diesel,second,19.09,5,204999
2003,90000,Petrol,second,13.2,5,110000
2009,100000,Diesel,fourth,17.7,5,150000
2016,90000,Diesel,second,15.96,7,625000
2017,50000,Diesel,second,15.4,7,1300000
2015,168000,Diesel,first,20.6,5,900000
2010,110000,Diesel,second,20,5,180000
2010,120000,Diesel,second,13.6,7,421000
2012,120000,Diesel,second,19.09,5,204999
2017,40000,Diesel,first,25.5,5,900000
2006,110000,Petrol,second,17.7,5,165000
2010,100000,Diesel,fourth,21.9,5,270000
2017,40000,Diesel,first,24.3,5,750000
2019,30000,Petrol,first,18.6,5,750000
2002,80000,Petrol,third,16.1,4,40000
2011,90000,Diesel,second,20,5,190000
2009,200000,Diesel,third,12.8,7,395000
2010,125000,Diesel,second,11.5,7,800000
2011,80000,Petrol,first,17,5,315000
2014,44000,Diesel,second,16.55,5,1600000
2013,90000,Diesel,first,23.59,5,409999
2018,32000,Petrol,first,18.9,5,580000
2013,70000,Petrol,first,18.5,5,340000
2015,43000,Petrol,first,21.1,5,270000
2017,80000,Diesel,first,22.95,5,280000
2012,60000,Diesel,first,22.3,5,130000
2014,18945,Petrol,first,21.1,5,260000
2018,70000,Diesel,first,24,5,710000
2013,100000,Petrol,third,15.1,7,204999
2017,60000,Petrol,first,20.62,7,300000
2009,144000,Diesel,second,19.3,5,180000
2016,120000,Diesel,first,18.49,7,700000
2012,107825,Diesel,second,21.9,5,320000
2020,15000,Petrol,first,22.05,5,370000
2018,10000,Petrol,first,25.17,5,340000
2019,1620,Petrol,first,19.01,6,1040000
2018,30000,Diesel,first,21.19,5,750000
2018,70000,Diesel,first,18.49,9,600000
2016,70000,Diesel,first,15.96,9,550000
2013,95000,Diesel,second,12.99,7,600000
2017,50000,Diesel,first,24.7,5,550000
2015,160000,Diesel,first,25.1,5,750000
2019,10000,Petrol,first,20.3,5,450000
2012,100000,Diesel,third,20.77,7,400000
2016,50000,Diesel,second,25.2,5,520000
2013,60000,Petrol,second,20.2,5,199000
2012,110000,Diesel,first,25.44,5,150000
2016,80000,Diesel,third,21.19,5,540000
2011,85000,Diesel,second,21.5,5,250000
2010,90000,Petrol,second,18.9,5,200000
2011,90000,Diesel,second,25,5,130000
2007,90000,Petrol,first,16.1,4,90000
2012,120000,Diesel,second,22.32,5,450000
2009,120000,Diesel,first,18.1,5,280000
2007,160000,Diesel,second,13.93,7,280000
2006,141000,Petrol,second,17.3,5,120000
2008,100000,Diesel,second,17.8,5,290000
2019,15000,Diesel,first,22.1,5,1000000
2012,108000,Diesel,first,19.3,5,415000
2012,108000,Diesel,first,23.4,5,415000
2015,55000,Diesel,first,25.44,5,240000
2010,37944,Diesel,first,18.4,5,250000
2011,90400,Diesel,first,20,5,175000
2008,85000,Diesel,second,16.8,5,220000
2003,120000,Diesel,third,20.8,5,85000
2019,5000,Petrol,first,21.21,5,675000
2016,50000,Diesel,first,19.87,5,535000
2019,5000,Petrol,first,20,7,675000
2016,90000,Diesel,first,24.3,5,800000
2012,96000,Diesel,second,20.77,7,425000
2011,80000,Petrol,third,15.37,5,150000
2007,60000,Petrol,second,18.2,5,90000
2015,90000,Diesel,first,15.1,7,850000
2008,193623,Diesel,second,12.8,8,330000
2017,63186,Diesel,first,22.54,5,850000
2008,219000,Diesel,second,13.6,7,305000
2013,110000,Diesel,second,12.99,7,910000
2012,151000,Diesel,first,12.8,8,1100000
2019,5000,Petrol,first,21.4,5,675000
2010,91500,Petrol,first,19.7,5,150000
2015,23000,Diesel,first,25.2,5,550000
2012,40000,Diesel,first,20.54,5,350000
2012,70000,Diesel,first,23.2,5,300000
2018,10000,Diesel,first,11.36,7,1745000
2014,90000,Diesel,second,14,7,611000
2016,68000,Petrol,first,19.4,5,400000
2013,120000,Diesel,first,22.7,5,700000
2013,65000,Diesel,first,22.1,5,300000
2005,85000,Petrol,first,15.3,5,65000
2011,94000,Petrol,third,18.9,5,200000
2015,100000,Diesel,first,22.54,5,650000
2015,80000,Diesel,first,22.54,5,650000
2013,80000,Diesel,third,22.07,5,350000
2011,140500,Diesel,third,17.88,5,75000
2010,143000,Petrol,first,17.5,5,240000
2013,60000,Petrol,first,20.92,5,240000
2011,120000,Diesel,second,18.4,5,180000
2014,80000,Diesel,second,13.01,7,900000
2014,63000,Diesel,second,18.06,7,425000
2009,120000,Petrol,third,18,5,95000
2018,100000,Diesel,first,28.4,5,811000
2018,60000,Petrol,first,17,5,1100000
2013,90000,Diesel,first,13.58,9,600000
2014,50000,Diesel,second,20.77,7,550000
2015,70000,Diesel,first,15.4,7,715000
2010,40000,Diesel,first,,,300000
2006,120000,Diesel,third,16.1,5,100000
2013,195000,Diesel,first,14,8,500000
2013,40000,Petrol,first,20.51,5,350000
2008,40000,Diesel,first,16.8,5,100000
2012,120000,Diesel,first,13.93,7,325000
